Date,cash_type,money,coffee_name,Time_fixed
3/5/2024,card,28.9,Cortado,0.00:56:15
3/5/2024,card,38.7,Hot Chocolate,0.00:01:31
3/6/2024,cash,35,Americano with Milk,0.00:30:27
3/6/2024,card,28.9,Americano,0.00:24:07
3/6/2024,card,28.9,Cortado,0.00:25:14
3/6/2024,card,38.7,Cappuccino,0.00:52:01
3/6/2024,card,38.7,Cappuccino,0.00:53:18
3/7/2024,cash,40,Latte,0.00:08:58
3/7/2024,card,38.7,Hot Chocolate,0.00:18:40
3/7/2024,card,38.7,Latte,0.00:03:59
3/7/2024,cash,40,Latte,0.00:25:44
3/7/2024,card,28.9,Americano,0.00:40:22
3/7/2024,card,33.8,Americano with Milk,0.00:41:28
3/8/2024,card,28.9,Cortado,0.00:34:41
3/8/2024,card,38.7,Cappuccino,0.00:22:28
3/8/2024,card,28.9,Americano,0.00:53:02
3/8/2024,card,28.9,Americano,0.00:44:12
3/8/2024,card,28.9,Americano,0.00:45:11
3/8/2024,card,33.8,Americano with Milk,0.00:46:11
3/8/2024,card,38.7,Latte,0.00:57:51
3/8/2024,card,38.7,Latte,0.00:59:24
3/9/2024,cash,40,Hot Chocolate,0.00:49:37
3/9/2024,card,24,Espresso,0.00:05:15
3/9/2024,card,28.9,Americano,0.00:07:38
3/9/2024,card,38.7,Cappuccino,0.00:09:47
3/9/2024,card,28.9,Americano,0.00:13:03
3/9/2024,card,28.9,Americano,0.00:14:26
3/9/2024,card,38.7,Latte,0.00:09:22
3/9/2024,card,33.8,Americano with Milk,0.00:41:06
3/9/2024,card,28.9,Cortado,0.00:53:10
3/9/2024,card,38.7,Cappuccino,0.00:54:36
3/9/2024,card,33.8,Americano with Milk,0.00:08:01
3/9/2024,card,38.7,Hot Chocolate,0.00:26:52
3/9/2024,card,38.7,Cappuccino,0.00:17:57
3/9/2024,card,38.7,Hot Chocolate,0.00:19:10
3/10/2024,cash,30,Americano,0.00:44:18
3/10/2024,cash,35,Americano with Milk,0.00:45:29
3/10/2024,cash,40,Latte,0.00:06:03
3/10/2024,card,24,Espresso,0.00:19:20
3/10/2024,cash,35,Americano with Milk,0.00:51:03
3/10/2024,card,38.7,Latte,0.00:34:00
3/10/2024,card,28.9,Cortado,0.00:35:54
3/11/2024,cash,40,Latte,0.00:18:46
3/11/2024,cash,40,Cappuccino,0.00:24:15
3/11/2024,cash,30,Cortado,0.00:24:51
3/11/2024,cash,30,Americano,0.00:26:44
3/11/2024,card,38.7,Cappuccino,0.00:32:58
3/11/2024,card,28.9,Americano,0.00:24:26
3/11/2024,card,38.7,Latte,0.00:25:45
3/11/2024,card,28.9,Cortado,0.00:50:49
3/12/2024,cash,40,Latte,0.00:15:00
3/12/2024,card,28.9,Americano,0.00:15:34
3/12/2024,card,28.9,Cortado,0.00:16:24
3/12/2024,card,38.7,Hot Chocolate,0.00:20:45
3/12/2024,card,33.8,Americano with Milk,0.00:46:23
3/12/2024,card,28.9,Americano,0.00:47:26
3/12/2024,card,28.9,Americano,0.00:15:43
3/13/2024,card,38.7,Hot Chocolate,0.00:06:43
3/13/2024,card,28.9,Americano,0.00:48:16
3/13/2024,card,28.9,Americano,0.00:18:06
3/13/2024,card,28.9,Americano,0.00:19:05
3/13/2024,cash,25,Espresso,0.00:34:30
3/13/2024,card,33.8,Americano with Milk,0.00:26:40
3/13/2024,card,24,Espresso,0.00:40:22
3/13/2024,card,24,Espresso,0.00:41:20
3/13/2024,card,24,Espresso,0.00:47:09
3/14/2024,cash,40,Latte,0.00:02:12
3/14/2024,card,38.7,Latte,0.00:28:33
3/14/2024,card,38.7,Hot Chocolate,0.00:29:34
3/14/2024,card,28.9,Cortado,0.00:27:29
3/14/2024,card,28.9,Americano,0.00:28:24
3/14/2024,card,33.8,Americano with Milk,0.00:51:59
3/14/2024,card,24,Espresso,0.00:52:56
3/14/2024,card,38.7,Latte,0.00:20:38
3/14/2024,card,33.8,Americano with Milk,0.00:04:09
3/14/2024,card,24,Espresso,0.00:54:38
3/14/2024,card,38.7,Hot Chocolate,0.00:58:55
3/14/2024,card,28.9,Cortado,0.00:00:08
3/15/2024,cash,40,Latte,0.00:02:16
3/15/2024,card,38.7,Hot Chocolate,0.00:53:02
3/15/2024,card,28.9,Americano,0.00:19:27
3/16/2024,card,33.8,Americano with Milk,0.00:06:55
3/16/2024,card,28.9,Americano,0.00:07:53
3/16/2024,card,28.9,Cortado,0.00:58:18
3/16/2024,card,28.9,Cortado,0.00:03:21
3/16/2024,card,28.9,Cortado,0.00:04:11
3/16/2024,card,33.8,Americano with Milk,0.00:58:07
3/17/2024,cash,40,Latte,0.00:10:21
3/17/2024,card,28.9,Cortado,0.00:55:26
3/18/2024,card,28.9,Cortado,0.00:17:59
3/18/2024,card,28.9,Americano,0.00:31:39
3/18/2024,card,28.9,Americano,0.00:32:38
3/18/2024,card,28.9,Americano,0.00:33:36
3/19/2024,cash,30,Cortado,0.00:20:26
3/19/2024,card,38.7,Latte,0.00:02:21
3/19/2024,card,38.7,Latte,0.00:03:19
3/19/2024,card,38.7,Hot Chocolate,0.00:04:36
3/19/2024,card,33.8,Americano with Milk,0.00:53:48
3/19/2024,cash,40,Hot Chocolate,0.00:26:32
3/20/2024,card,28.9,Cortado,0.00:41:16
3/20/2024,cash,40,Latte,0.00:21:07
3/20/2024,card,28.9,Cortado,0.00:30:49
3/20/2024,card,38.7,Cappuccino,0.00:16:47
3/20/2024,card,38.7,Cocoa,0.00:42:38
3/20/2024,card,38.7,Latte,0.00:50:28
3/21/2024,cash,40,Cappuccino,0.00:18:57
3/21/2024,card,28.9,Cortado,0.00:25:09
3/21/2024,card,38.7,Cappuccino,0.00:26:17
3/21/2024,cash,30,Americano,0.00:21:01
3/21/2024,card,28.9,Cortado,0.00:22:01
3/21/2024,card,38.7,Latte,0.00:20:36
3/22/2024,card,33.8,Americano with Milk,0.00:35:53
3/22/2024,card,33.8,Americano with Milk,0.00:29:20
3/22/2024,cash,40,Cappuccino,0.00:15:14
3/22/2024,card,28.9,Americano,0.00:17:03
3/22/2024,card,24,Espresso,0.00:17:59
3/22/2024,card,28.9,Americano,0.00:20:49
3/23/2024,card,38.7,Latte,0.00:43:59
3/23/2024,card,33.8,Americano with Milk,0.00:45:07
3/23/2024,card,38.7,Cappuccino,0.00:10:07
3/23/2024,card,38.7,Cocoa,0.00:11:12
3/23/2024,card,33.8,Americano with Milk,0.00:44:41
3/23/2024,card,38.7,Latte,0.00:47:19
3/23/2024,card,33.8,Americano with Milk,0.00:49:33
3/23/2024,card,28.9,Cortado,0.00:00:58
3/24/2024,cash,40,Latte,0.00:03:56
3/24/2024,card,38.7,Latte,0.00:45:08
3/25/2024,card,38.7,Latte,0.00:31:47
3/25/2024,cash,35,Americano with Milk,0.00:16:25
3/25/2024,card,38.7,Latte,0.00:27:09
3/25/2024,card,38.7,Latte,0.00:29:25
3/25/2024,card,33.8,Americano with Milk,0.00:37:30
3/25/2024,card,38.7,Cappuccino,0.00:34:24
3/26/2024,card,38.7,Cocoa,0.00:35:49
3/26/2024,card,38.7,Latte,0.00:36:36
3/26/2024,card,38.7,Latte,0.00:42:30
3/26/2024,card,28.9,Cortado,0.00:11:47
3/26/2024,card,28.9,Americano,0.00:35:52
3/26/2024,card,28.9,Cortado,0.00:36:49
3/26/2024,card,28.9,Cortado,0.00:37:59
3/26/2024,card,28.9,Americano,0.00:57:53
3/26/2024,card,38.7,Latte,0.00:48:02
3/26/2024,card,38.7,Latte,0.00:33:38
3/26/2024,card,38.7,Hot Chocolate,0.00:34:54
3/27/2024,card,28.9,Cortado,0.00:04:51
3/27/2024,card,33.8,Americano with Milk,0.00:05:58
3/27/2024,card,33.8,Americano with Milk,0.00:57:00
3/27/2024,card,38.7,Hot Chocolate,0.00:35:20
3/27/2024,card,38.7,Cappuccino,0.00:22:31
3/27/2024,card,28.9,Americano,0.00:23:35
3/27/2024,card,28.9,Cortado,0.00:30:11
3/27/2024,cash,40,Latte,0.00:31:12
3/28/2024,card,28.9,Cortado,0.00:24:47
3/28/2024,card,28.9,Cortado,0.00:24:46
3/28/2024,card,28.9,Americano,0.00:27:05
3/28/2024,card,38.7,Latte,0.00:32:44
3/29/2024,card,38.7,Latte,0.00:56:19
3/29/2024,card,38.7,Cappuccino,0.00:34:17
3/29/2024,card,38.7,Cappuccino,0.00:41:32
3/29/2024,cash,40,Cappuccino,0.00:22:44
3/30/2024,card,38.7,Latte,0.00:59:19
3/30/2024,cash,40,Cappuccino,0.00:49:25
3/30/2024,card,38.7,Latte,0.00:12:31
3/30/2024,card,38.7,Latte,0.00:36:40
3/30/2024,card,33.8,Americano with Milk,0.00:37:57
3/31/2024,card,38.7,Cappuccino,0.00:40:04
3/31/2024,cash,30,Americano,0.00:36:45
4/1/2024,card,28.9,Americano,0.00:28:47
4/1/2024,card,33.8,Americano with Milk,0.00:29:42
4/1/2024,card,33.8,Americano with Milk,0.00:30:43
4/1/2024,card,33.8,Americano with Milk,0.00:15:43
4/1/2024,cash,40,Cappuccino,0.00:01:42
4/1/2024,card,33.8,Americano with Milk,0.00:18:42
4/1/2024,card,38.7,Hot Chocolate,0.00:45:27
4/2/2024,card,38.7,Latte,0.00:01:14
4/2/2024,card,28.9,Americano,0.00:18:34
4/2/2024,card,28.9,Cortado,0.00:19:28
4/2/2024,cash,40,Cappuccino,0.00:59:31
4/3/2024,card,28.9,Cortado,0.00:19:13
4/3/2024,card,28.9,Americano,0.00:20:07
4/3/2024,card,38.7,Cappuccino,0.00:12:05
4/3/2024,cash,30,Cortado,0.00:36:11
4/4/2024,card,38.7,Latte,0.00:44:56
4/4/2024,card,38.7,Latte,0.00:26:38
4/4/2024,card,38.7,Cappuccino,0.00:27:48
4/4/2024,card,28.9,Cortado,0.00:23:02
4/4/2024,cash,40,Latte,0.00:42:07
4/5/2024,card,28.9,Americano,0.00:40:42
4/5/2024,card,28.9,Americano,0.00:42:06
4/5/2024,card,28.9,Cortado,0.00:06:14
4/5/2024,card,33.8,Americano with Milk,0.00:14:28
4/5/2024,card,38.7,Latte,0.00:23:40
4/5/2024,card,28.9,Cortado,0.00:24:50
4/5/2024,cash,40,Latte,0.00:30:50
4/5/2024,cash,40,Cappuccino,0.00:54:15
4/5/2024,cash,30,Americano,0.00:55:30
4/5/2024,cash,40,Cocoa,0.00:17:44
4/5/2024,card,24,Espresso,0.00:18:23
4/6/2024,card,33.8,Americano with Milk,0.00:32:31
4/6/2024,card,38.7,Cappuccino,0.00:13:18
4/6/2024,card,28.9,Americano,0.00:14:27
4/6/2024,card,38.7,Latte,0.00:49:50
4/7/2024,card,38.7,Latte,0.00:12:53
4/7/2024,card,38.7,Cappuccino,0.00:44:31
4/7/2024,card,38.7,Cappuccino,0.00:46:05
4/7/2024,card,28.9,Cortado,0.00:16:24
4/7/2024,card,24,Espresso,0.00:17:30
4/7/2024,card,38.7,Hot Chocolate,0.00:01:16
4/7/2024,card,33.8,Americano with Milk,0.00:02:03
4/8/2024,card,33.8,Americano with Milk,0.00:58:21
4/8/2024,card,38.7,Cappuccino,0.00:59:27
4/8/2024,card,28.9,Americano,0.00:01:20
4/8/2024,card,38.7,Cappuccino,0.00:04:47
4/8/2024,cash,25,Espresso,0.00:54:25
4/8/2024,cash,35,Americano with Milk,0.00:43:36
4/8/2024,card,38.7,Latte,0.00:41:37
4/8/2024,card,28.9,Americano,0.00:18:09
4/8/2024,card,33.8,Americano with Milk,0.00:22:27
4/8/2024,card,38.7,Cappuccino,0.00:23:59
4/9/2024,cash,40,Cappuccino,0.00:22:27
4/9/2024,cash,30,Americano,0.00:24:10
4/9/2024,card,38.7,Latte,0.00:42:28
4/9/2024,card,38.7,Hot Chocolate,0.00:11:48
4/9/2024,card,38.7,Hot Chocolate,0.00:25:23
4/10/2024,cash,25,Espresso,0.00:21:26
4/10/2024,cash,40,Hot Chocolate,0.00:55:07
4/10/2024,card,24,Espresso,0.00:55:31
4/10/2024,card,38.7,Cappuccino,0.00:24:59
4/10/2024,card,38.7,Latte,0.00:04:05
4/11/2024,card,28.9,Americano,0.00:41:23
4/11/2024,card,28.9,Americano,0.00:42:59
4/11/2024,card,38.7,Latte,0.00:35:23
4/11/2024,card,38.7,Cappuccino,0.00:16:56
4/11/2024,card,33.8,Americano with Milk,0.00:18:36
4/12/2024,card,38.7,Hot Chocolate,0.00:03:43
4/12/2024,card,28.9,Cortado,0.00:38:23
4/13/2024,card,38.7,Latte,0.00:29:19
4/13/2024,card,28.9,Americano,0.00:43:02
4/13/2024,cash,40,Hot Chocolate,0.00:06:52
4/13/2024,cash,40,Hot Chocolate,0.00:07:56
4/13/2024,card,38.7,Cappuccino,0.00:18:03
4/13/2024,card,38.7,Latte,0.00:19:39
4/13/2024,card,38.7,Cappuccino,0.00:51:26
4/13/2024,card,38.7,Cappuccino,0.00:53:19
4/14/2024,cash,40,Latte,0.00:55:27
4/14/2024,card,38.7,Cappuccino,0.00:24:39
4/14/2024,cash,30,Cortado,0.00:27:09
4/14/2024,cash,30,Cortado,0.00:29:06
4/14/2024,cash,35,Americano with Milk,0.00:31:36
4/14/2024,card,28.9,Cortado,0.00:21:49
4/14/2024,card,28.9,Americano,0.00:23:31
4/14/2024,card,28.9,Americano,0.00:24:26
4/14/2024,card,28.9,Americano,0.00:25:18
4/14/2024,card,38.7,Cappuccino,0.00:46:27
4/14/2024,card,28.9,Cortado,0.00:59:54
4/14/2024,card,38.7,Latte,0.00:00:45
4/14/2024,card,38.7,Cappuccino,0.00:38:19
4/15/2024,card,28.9,Americano,0.00:45:24
4/15/2024,card,28.9,Americano,0.00:01:46
4/15/2024,card,33.8,Americano with Milk,0.00:02:49
4/15/2024,card,33.8,Americano with Milk,0.00:33:03
4/15/2024,cash,25,Espresso,0.00:41:58
4/16/2024,cash,35,Americano with Milk,0.00:43:49
4/16/2024,card,33.8,Americano with Milk,0.00:46:25
4/16/2024,card,38.7,Cocoa,0.00:40:47
4/16/2024,card,28.9,Cortado,0.00:52:07
4/16/2024,card,28.9,Americano,0.00:03:16
4/16/2024,card,33.8,Americano with Milk,0.00:42:04
4/16/2024,card,38.7,Cappuccino,0.00:43:23
4/16/2024,card,38.7,Cocoa,0.00:09:05
4/17/2024,card,28.9,Americano,0.00:32:59
4/17/2024,card,24,Espresso,0.00:44:00
4/17/2024,cash,40,Cappuccino,0.00:13:24
4/17/2024,card,38.7,Cappuccino,0.00:01:35
4/17/2024,card,38.7,Cappuccino,0.00:02:40
4/17/2024,card,28.9,Cortado,0.00:14:03
4/18/2024,card,28.9,Americano,0.00:19:01
4/18/2024,card,28.9,Americano,0.00:20:05
4/18/2024,card,33.8,Americano with Milk,0.00:49:12
4/18/2024,card,28.9,Cortado,0.00:50:17
4/18/2024,card,38.7,Cappuccino,0.00:34:19
4/18/2024,card,38.7,Latte,0.00:35:49
4/18/2024,card,38.7,Latte,0.00:44:15
4/18/2024,card,38.7,Cappuccino,0.00:21:05
4/18/2024,card,38.7,Hot Chocolate,0.00:39:51
4/18/2024,card,38.7,Hot Chocolate,0.00:40:49
4/19/2024,card,38.7,Latte,0.00:10:36
4/19/2024,card,33.8,Americano with Milk,0.00:11:47
4/19/2024,card,38.7,Cappuccino,0.00:13:20
4/19/2024,card,38.7,Hot Chocolate,0.00:58:54
4/19/2024,card,38.7,Cappuccino,0.00:59:49
4/19/2024,card,38.7,Cocoa,0.00:23:19
4/19/2024,card,33.8,Americano with Milk,0.00:25:33
4/20/2024,cash,35,Americano with Milk,0.00:24:42
4/20/2024,card,33.8,Americano with Milk,0.00:08:35
4/20/2024,card,33.8,Americano with Milk,0.00:09:42
4/20/2024,card,28.9,Americano,0.00:08:37
4/20/2024,card,33.8,Americano with Milk,0.00:09:47
4/20/2024,card,38.7,Hot Chocolate,0.00:10:55
4/20/2024,card,38.7,Cappuccino,0.00:44:18
4/20/2024,card,33.8,Americano with Milk,0.00:11:00
4/20/2024,card,32.82,Americano with Milk,0.00:22:40
4/20/2024,card,32.82,Americano with Milk,0.00:49:25
4/20/2024,cash,39,Cocoa,0.00:07:58
4/20/2024,card,37.72,Cappuccino,0.00:27:41
4/20/2024,card,37.72,Cappuccino,0.00:28:46
4/20/2024,card,37.72,Latte,0.00:30:55
4/21/2024,card,37.72,Latte,0.00:16:45
4/21/2024,card,27.92,Americano,0.00:15:37
4/21/2024,cash,39,Cappuccino,0.00:09:03
4/22/2024,card,27.92,Americano,0.00:09:16
4/22/2024,card,32.82,Americano with Milk,0.00:29:27
4/22/2024,cash,39,Latte,0.00:40:33
4/22/2024,card,37.72,Latte,0.00:39:04
4/22/2024,cash,39,Cappuccino,0.00:02:29
4/23/2024,card,37.72,Cappuccino,0.00:22:36
4/23/2024,card,32.82,Americano with Milk,0.00:23:53
4/23/2024,card,37.72,Cappuccino,0.00:24:57
4/23/2024,card,32.82,Americano with Milk,0.00:42:27
4/23/2024,card,32.82,Americano with Milk,0.00:43:26
4/24/2024,card,37.72,Latte,0.00:19:38
4/24/2024,card,32.82,Americano with Milk,0.00:21:27
4/24/2024,card,32.82,Americano with Milk,0.00:23:46
4/24/2024,card,32.82,Americano with Milk,0.00:33:26
4/24/2024,card,32.82,Americano with Milk,0.00:39:09
4/24/2024,card,32.82,Americano with Milk,0.00:39:07
4/24/2024,card,32.82,Americano with Milk,0.00:39:50
4/24/2024,card,37.72,Cappuccino,0.00:40:54
4/25/2024,card,27.92,Americano,0.00:46:08
4/25/2024,card,37.72,Latte,0.00:18:27
4/25/2024,card,27.92,Americano,0.00:09:43
4/25/2024,card,27.92,Americano,0.00:10:49
4/26/2024,card,37.72,Latte,0.00:12:50
4/26/2024,card,37.72,Latte,0.00:01:30
4/26/2024,card,37.72,Cappuccino,0.00:31:28
4/26/2024,card,27.92,Americano,0.00:32:35
4/26/2024,card,27.92,Americano,0.00:33:33
4/26/2024,card,27.92,Cortado,0.00:23:26
4/26/2024,card,27.92,Americano,0.00:24:33
4/26/2024,card,37.72,Hot Chocolate,0.00:32:07
4/26/2024,card,37.72,Cocoa,0.00:33:30
4/27/2024,card,37.72,Cappuccino,0.00:27:00
4/28/2024,card,37.72,Latte,0.00:32:52
4/28/2024,card,37.72,Cappuccino,0.00:30:09
4/28/2024,card,27.92,Americano,0.00:27:08
4/28/2024,card,27.92,Americano,0.00:28:11
4/28/2024,card,37.72,Latte,0.00:29:02
4/29/2024,card,27.92,Cortado,0.00:26:31
4/29/2024,card,27.92,Americano,0.00:27:56
4/29/2024,card,27.92,Cortado,0.00:28:53
4/29/2024,card,27.92,Cortado,0.00:53:35
4/29/2024,card,32.82,Americano with Milk,0.00:54:24
4/29/2024,card,37.72,Cappuccino,0.00:37:48
4/29/2024,card,37.72,Cappuccino,0.00:12:33
4/29/2024,card,37.72,Cappuccino,0.00:13:37
4/30/2024,card,37.72,Latte,0.00:16:41
4/30/2024,card,32.82,Americano with Milk,0.00:34:52
4/30/2024,card,32.82,Americano with Milk,0.00:35:47
4/30/2024,card,27.92,Americano,0.00:41:52
4/30/2024,card,32.82,Americano with Milk,0.00:43:00
4/30/2024,card,37.72,Cappuccino,0.00:19:18
4/30/2024,card,32.82,Americano with Milk,0.00:30:04
4/30/2024,card,37.72,Latte,0.00:31:21
5/2/2024,card,27.92,Americano,0.00:33:55
5/2/2024,cash,39,Latte,0.00:29:57
5/2/2024,card,32.82,Americano with Milk,0.00:49:39
5/2/2024,card,37.72,Cappuccino,0.00:36:22
5/2/2024,card,32.82,Americano with Milk,0.00:41:11
5/2/2024,card,37.72,Latte,0.00:18:33
5/2/2024,card,37.72,Cappuccino,0.00:19:56
5/3/2024,cash,39,Latte,0.00:11:53
5/3/2024,card,37.72,Latte,0.00:30:00
5/3/2024,card,37.72,Latte,0.00:03:24
5/6/2024,card,27.92,Americano,0.00:05:17
5/6/2024,card,37.72,Cappuccino,0.00:06:51
5/6/2024,card,32.82,Americano with Milk,0.00:08:05
5/6/2024,card,27.92,Americano,0.00:09:08
5/6/2024,card,27.92,Cortado,0.00:39:12
5/6/2024,cash,29,Americano,0.00:34:20
5/6/2024,card,27.92,Cortado,0.00:18:11
5/6/2024,card,27.92,Americano,0.00:19:00
5/6/2024,card,37.72,Cappuccino,0.00:18:13
5/6/2024,card,37.72,Cappuccino,0.00:19:49
5/7/2024,card,37.72,Cocoa,0.00:44:55
5/7/2024,card,27.92,Cortado,0.00:21:58
5/7/2024,card,27.92,Cortado,0.00:23:34
5/7/2024,card,37.72,Cocoa,0.00:42:07
5/7/2024,card,27.92,Americano,0.00:55:38
5/7/2024,card,37.72,Cappuccino,0.00:37:46
5/7/2024,card,37.72,Latte,0.00:38:48
5/7/2024,cash,34,Americano with Milk,0.00:35:37
5/7/2024,card,37.72,Cappuccino,0.00:12:12
5/7/2024,card,37.72,Cappuccino,0.00:13:12
5/8/2024,card,37.72,Latte,0.00:07:28
5/9/2024,card,37.72,Cappuccino,0.00:54:21
5/9/2024,card,27.92,Americano,0.00:03:58
5/9/2024,card,37.72,Latte,0.00:04:57
5/9/2024,card,37.72,Latte,0.00:06:11
5/9/2024,card,37.72,Latte,0.00:07:16
5/9/2024,card,27.92,Americano,0.00:55:14
5/9/2024,card,27.92,Americano,0.00:56:15
5/9/2024,card,27.92,Americano,0.00:01:29
5/9/2024,card,32.82,Americano with Milk,0.00:13:56
5/10/2024,cash,39,Latte,0.00:09:22
5/10/2024,card,37.72,Latte,0.00:46:21
5/10/2024,card,37.72,Latte,0.00:47:32
5/10/2024,cash,34,Americano with Milk,0.00:20:15
5/11/2024,card,37.72,Latte,0.00:39:52
5/11/2024,cash,39,Latte,0.00:02:43
5/11/2024,card,32.82,Americano with Milk,0.00:20:30
5/11/2024,card,37.72,Cocoa,0.00:21:56
5/11/2024,card,37.72,Cappuccino,0.00:23:57
5/11/2024,card,32.82,Americano with Milk,0.00:28:54
5/11/2024,card,37.72,Cappuccino,0.00:35:40
5/11/2024,card,37.72,Latte,0.00:38:16
5/12/2024,card,37.72,Latte,0.00:20:42
5/12/2024,card,37.72,Latte,0.00:24:03
5/12/2024,card,27.92,Americano,0.00:27:39
5/12/2024,card,37.72,Latte,0.00:16:19
5/12/2024,card,32.82,Americano with Milk,0.00:38:02
5/12/2024,card,32.82,Americano with Milk,0.00:52:14
5/12/2024,card,32.82,Americano with Milk,0.00:04:21
5/12/2024,card,32.82,Americano with Milk,0.00:41:30
5/13/2024,card,32.82,Americano with Milk,0.00:03:53
5/13/2024,cash,29,Americano,0.00:31:10
5/13/2024,cash,29,Americano,0.00:31:50
5/14/2024,card,27.92,Americano,0.00:38:14
5/14/2024,card,27.92,Americano,0.00:39:25
5/14/2024,card,27.92,Americano,0.00:40:17
5/14/2024,card,37.72,Cappuccino,0.00:19:23
5/14/2024,card,37.72,Latte,0.00:32:29
5/14/2024,card,37.72,Cappuccino,0.00:34:12
5/14/2024,card,37.72,Cappuccino,0.00:04:54
5/14/2024,card,32.82,Americano with Milk,0.00:06:00
5/14/2024,card,27.92,Americano,0.00:01:54
5/14/2024,card,32.82,Americano with Milk,0.00:57:57
5/14/2024,card,37.72,Cappuccino,0.00:59:10
5/14/2024,card,37.72,Hot Chocolate,0.00:51:25
5/15/2024,card,37.72,Latte,0.00:40:05
5/15/2024,card,23.02,Espresso,0.00:14:19
5/15/2024,card,27.92,Americano,0.00:19:10
5/15/2024,card,27.92,Americano,0.00:34:35
5/15/2024,card,27.92,Americano,0.00:35:29
5/15/2024,card,27.92,Americano,0.00:36:27
5/15/2024,card,32.82,Americano with Milk,0.00:55:29
5/15/2024,cash,29,Americano,0.00:38:10
5/15/2024,card,27.92,Cortado,0.00:38:52
5/15/2024,card,27.92,Cortado,0.00:39:44
5/15/2024,card,23.02,Espresso,0.00:28:58
5/15/2024,card,37.72,Cappuccino,0.00:20:34
5/16/2024,card,32.82,Americano with Milk,0.00:38:42
5/16/2024,card,32.82,Americano with Milk,0.00:39:49
5/16/2024,cash,39,Latte,0.00:42:50
5/16/2024,cash,39,Cappuccino,0.00:44:20
5/16/2024,card,32.82,Americano with Milk,0.00:14:00
5/16/2024,card,37.72,Hot Chocolate,0.00:15:16
5/16/2024,card,37.72,Latte,0.00:44:31
5/16/2024,card,37.72,Hot Chocolate,0.00:12:56
5/16/2024,card,37.72,Latte,0.00:13:58
5/17/2024,card,27.92,Americano,0.00:00:48
5/17/2024,card,32.82,Americano with Milk,0.00:30:27
5/17/2024,cash,34,Americano with Milk,0.00:58:03
5/17/2024,card,32.82,Americano with Milk,0.00:55:18
5/17/2024,card,37.72,Cappuccino,0.00:56:46
5/17/2024,card,37.72,Cappuccino,0.00:37:52
5/17/2024,card,27.92,Americano,0.00:34:50
5/17/2024,card,37.72,Latte,0.00:36:33
5/17/2024,card,37.72,Latte,0.00:37:42
5/18/2024,card,37.72,Cappuccino,0.00:01:37
5/18/2024,card,37.72,Cappuccino,0.00:02:40
5/18/2024,card,32.82,Americano with Milk,0.00:15:56
5/18/2024,card,32.82,Americano with Milk,0.00:48:29
5/18/2024,card,32.82,Americano with Milk,0.00:49:27
5/18/2024,card,32.82,Americano with Milk,0.00:58:44
5/18/2024,card,37.72,Latte,0.00:22:53
5/18/2024,cash,39,Cappuccino,0.00:05:27
5/19/2024,card,27.92,Americano,0.00:58:38
5/19/2024,card,27.92,Americano,0.00:59:33
5/19/2024,card,37.72,Cappuccino,0.00:00:35
5/19/2024,cash,24,Espresso,0.00:28:49
5/19/2024,card,32.82,Americano with Milk,0.00:14:26
5/19/2024,card,27.92,Americano,0.00:43:40
5/19/2024,card,32.82,Americano with Milk,0.00:58:58
5/19/2024,card,32.82,Americano with Milk,0.00:12:36
